parcela2,parcela,N,N2,V,V2,ABu,ABu2,AB,AB2,CI,CI2,AD,AD2,E,E2,Anio_Aclareo,Aclareo,star_aclareo,Densidad,Densidad2,Mortalidad,V_mort,AB_mort,V_punta_10cm,V_punta_10cm2,V_mort_punta10cm,V_punta_15cm,V_punta_15cm2,DCM
2,2,1470.224858,1470.224858,72.936728,86.909737,0,0,23.51104,25.73816,#¿NOMBRE?,#¿NOMBRE?,9.7536,10.3632,7,7.7,SA,SA,NA,Media,Baja,0,0,0,54.135789,67.856906,0,0,0,14.26918271
2,2,1470.224858,1470.224858,86.909737,112.672691,0,0,25.73816,29.34288,#¿NOMBRE?,#¿NOMBRE?,10.3632,11.8872,7.7,8.9,SA,SA,NA,Media,Baja,0,0,0,67.856906,93.179049,0,0,0.783664,14.92972908
2,2,1470.224858,1470.224858,112.672691,136.672401,0,0,29.34288,32.8328,#¿NOMBRE?,#¿NOMBRE?,11.8872,13.1064,8.9,10.3,SA,SA,NA,Media,Baja,0,0,0,93.179049,117.346687,0,0.783664,2.427959,15.94096277
2,2,1470.224858,1445.515196,136.672401,167.480192,0,0,32.8328,35.4732,#¿NOMBRE?,#¿NOMBRE?,13.1064,14.3256,10.3,12.1,SA,SA,NA,Media,Baja,0,0,0,117.346687,147.573727,0,2.427959,7.90661,16.86231272
2,2,1445.515196,1408.450704,167.480192,195.601135,0,0,35.4732,37.90696,#¿NOMBRE?,#¿NOMBRE?,14.3256,15.8496,12.1,14.3,SA,SA,NA,Media,Baja,24.70966148,0.923604,0.25256,147.573727,175.757643,0.405826,7.90661,20.109378,17.67640373
2,2,1408.450704,1371.386212,195.601135,222.021807,0,0,37.90696,40.43256,#¿NOMBRE?,#¿NOMBRE?,15.8496,16.4592,14.3,16.1,SA,SA,NA,Media,Baja,37.06449222,3.085677,0.66584,175.757643,202.892009,2.44895,20.109378,37.734821,18.51158955
2,2,1371.386212,1284.902397,222.021807,257.790471,0,0,40.43256,42.61376,#¿NOMBRE?,#¿NOMBRE?,16.4592,17.9832,16.1,18.1,SA,SA,NA,Media,Baja,37.06449222,2.791803,0.59696,202.892009,239.815178,2.085106,37.734821,68.388678,19.37495889
2,2,1284.902397,1272.547566,257.790471,316.313379,0,0,42.61376,46.65472,#¿NOMBRE?,#¿NOMBRE?,17.9832,19.812,18.1,20.3,SA,SA,NA,Media,Baja,86.48381517,8.669283,1.63016,239.815178,297.750338,7.010994,68.388678,111.805063,20.54919993
2,2,1272.547566,1247.837905,316.313379,343.286814,0,0,46.65472,48.3308,#¿NOMBRE?,#¿NOMBRE?,19.812,21.0312,20.3,22.1,SA,SA,NA,Media,Baja,12.35483074,0.972583,0.18368,297.750338,325.01065,0.685706,111.805063,136.546455,21.60557559
2,2,1247.837905,1074.870274,343.286814,357.735619,0,0,48.3308,48.03232,#¿NOMBRE?,#¿NOMBRE?,21.0312,21.6408,22.1,24,SA,SA,NA,Media,Baja,24.70966148,2.924746,0.48216,325.01065,343.153871,2.420962,136.546455,173.042807,22.20690141
2,2,1074.870274,1050.160613,357.735619,399.059901,0,0,48.03232,49.96096,#¿NOMBRE?,#¿NOMBRE?,21.6408,22.86,24,26,SA,SA,NA,Media,Baja,172.9676303,23.845776,3.7884,343.153871,384.394189,20.375264,173.042807,210.322823,23.85304431
2,2,1050.160613,1013.096121,399.059901,433.163279,0,0,49.96096,52.18808,#¿NOMBRE?,#¿NOMBRE?,22.86,23.4696,26,28.1,SA,SA,NA,Media,Baja,24.70966148,4.750963,0.66584,384.394189,419.393183,4.282164,210.322823,250.758486,24.61175504
2,2,1013.096121,901.9026439,433.163279,431.721897,0,0,52.18808,50.46608,#¿NOMBRE?,#¿NOMBRE?,23.4696,24.0792,28.1,30,SA,SA,NA,Media,Baja,37.06449222,6.108381,0.87248,419.393183,419.931952,5.31772,250.758486,273.260838,25.61034287
2,2,901.9026439,864.8381517,431.721897,449.648211,0,0,50.46608,51.66,#¿NOMBRE?,#¿NOMBRE?,24.0792,24.6888,30,32.1,SA,SA,NA,Media,Baja,111.1934766,26.133795,3.444,419.931952,438.7119,24.13965,273.260838,300.905985,26.69162503
